FX 75-193
1.00000000 0.00000000
0.99893000 0.00139000
0.99572000 0.00275000
0.99039000 0.00458000
0.98296000 0.00691000
0.97347000 0.00969000
0.96194000 0.01286000
0.94844000 0.01648000
0.93301000 0.02058000
0.91573000 0.02522000
0.89668000 0.03040000
0.87592000 0.03629000
0.85355000 0.04283000
0.82967000 0.05026000
0.80438000 0.05855000
0.77779000 0.06804000
0.75000000 0.07839000
0.72114000 0.08953000
0.69134000 0.09863000
0.66072000 0.10660000
0.62941000 0.11318000
0.59755000 0.11858000
0.56526000 0.12316000
0.53270000 0.12670000
0.50000000 0.12920000
0.46730000 0.13072000
0.43474000 0.13119000
0.40245000 0.13078000
0.37059000 0.12937000
0.33928000 0.12708000
0.30866000 0.12386000
0.27886000 0.11989000
0.25000000 0.11509000
0.22221000 0.10965000
0.19562000 0.10344000
0.17033000 0.09679000
0.14645000 0.08949000
0.12408000 0.08189000
0.10332000 0.07384000
0.08427000 0.06577000
0.06699000 0.05747000
0.05156000 0.04938000
0.03806000 0.04120000
0.02653000 0.03354000
0.01704000 0.02595000
0.00961000 0.01902000
0.00428000 0.01241000
0.00107000 0.00725000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00613000
0.00428000 -0.00990000
0.00961000 -0.01380000
0.01704000 -0.01854000
0.02653000 -0.02273000
0.03806000 -0.02652000
0.05156000 -0.03056000
0.06699000 -0.03421000
0.08427000 -0.03797000
0.10332000 -0.04134000
0.12408000 -0.04474000
0.14645000 -0.04774000
0.17033000 -0.05069000
0.19562000 -0.05319000
0.22221000 -0.05560000
0.25000000 -0.05753000
0.27886000 -0.05927000
0.30866000 -0.06049000
0.33928000 -0.06149000
0.37059000 -0.06189000
0.40245000 -0.06195000
0.43474000 -0.06137000
0.46730000 -0.06030000
0.50000000 -0.05818000
0.53270000 -0.05538000
0.56526000 -0.05172000
0.59755000 -0.04731000
0.62941000 -0.04168000
0.66072000 -0.03368000
0.69134000 -0.02536000
0.72114000 -0.01844000
0.75000000 -0.01229000
0.77779000 -0.00746000
0.80438000 -0.00329000
0.82967000 -0.00018000
0.85355000 0.00228000
0.87592000 0.00388000
0.89668000 0.00500000
0.91573000 0.00536000
0.93301000 0.00533000
0.94844000 0.00491000
0.96194000 0.00417000
0.97347000 0.00321000
0.98296000 0.00207000
0.99039000 0.00093000
0.99572000 0.00033000
0.99893000 0.00012000
1.00000000 0.00000000
