FX 69-274
1.00000000 0.00000000
0.99893000 0.00743000
0.99572000 0.00808000
0.99039000 0.00929000
0.98296000 0.01107000
0.97347000 0.01343000
0.96194000 0.01638000
0.94844000 0.02000000
0.93301000 0.02441000
0.91573000 0.02957000
0.89668000 0.03550000
0.87592000 0.04214000
0.85355000 0.04943000
0.82967000 0.05743000
0.80438000 0.06600000
0.77779000 0.07500000
0.75000000 0.08429000
0.72114000 0.09371000
0.69134000 0.10329000
0.66072000 0.11271000
0.62941000 0.12186000
0.59755000 0.13057000
0.56526000 0.13886000
0.53270000 0.14629000
0.50000000 0.15300000
0.46730000 0.15857000
0.43474000 0.16314000
0.40245000 0.16643000
0.37059000 0.16829000
0.33928000 0.16871000
0.30866000 0.16786000
0.27886000 0.16529000
0.25000000 0.16143000
0.22221000 0.15614000
0.19562000 0.14943000
0.17033000 0.14157000
0.14645000 0.13271000
0.12408000 0.12286000
0.10332000 0.11229000
0.08427000 0.10129000
0.06699000 0.08971000
0.05156000 0.07800000
0.03806000 0.06614000
0.02653000 0.05443000
0.01704000 0.04286000
0.00961000 0.03157000
0.00428000 0.02071000
0.00107000 0.01043000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00942000
0.00428000 -0.01843000
0.00961000 -0.02714000
0.01704000 -0.03543000
0.02653000 -0.04357000
0.03806000 -0.05114000
0.05156000 -0.05857000
0.06699000 -0.06557000
0.08427000 -0.07214000
0.10332000 -0.07829000
0.12408000 -0.08386000
0.14645000 -0.08900000
0.17033000 -0.09357000
0.19562000 -0.09742000
0.22221000 -0.10057000
0.25000000 -0.10300000
0.27886000 -0.10457000
0.30866000 -0.10543000
0.33928000 -0.10543000
0.37059000 -0.10457000
0.40245000 -0.10300000
0.43474000 -0.10071000
0.46730000 -0.09786000
0.50000000 -0.09429000
0.53270000 -0.09000000
0.56526000 -0.08543000
0.59755000 -0.08029000
0.62941000 -0.07486000
0.66072000 -0.06914000
0.69134000 -0.06329000
0.72114000 -0.05729000
0.75000000 -0.05129000
0.77779000 -0.04543000
0.80438000 -0.03971000
0.82967000 -0.03429000
0.85355000 -0.02943000
0.87592000 -0.02486000
0.89668000 -0.02070000
0.91573000 -0.01757000
0.93301000 -0.01475000
0.94844000 -0.01243000
0.96194000 -0.01056000
0.97347000 -0.00914000
0.98296000 -0.00819000
0.99039000 -0.00757000
0.99572000 -0.00711000
0.99893000 -0.00686000
1.00000000 0.00000000
