GA 30-217
1.00000000 0.00000000
0.95000000 0.01062000
0.90000000 0.02126000
0.85000000 0.03190000
0.80000000 0.04253000
0.75000000 0.05316000
0.70000000 0.06334000
0.65000000 0.07256000
0.60000000 0.08059000
0.55000000 0.08744000
0.50000000 0.09306000
0.45000000 0.09725000
0.40000000 0.10013000
0.35000000 0.10169000
0.30000000 0.10165000
0.25000000 0.09974000
0.20000000 0.09548000
0.15000000 0.08815000
0.10000000 0.07656000
0.07500000 0.06842000
0.05000000 0.05750000
0.02500000 0.04153000
0.01250000 0.02945000
0.00750000 0.02272000
0.00500000 0.01846000
0.00250000 0.01295000
0.00000000 0.00000000
0.00000000 0.00000000
0.00250000 -0.01175000
0.00500000 -0.01614000
0.00750000 -0.01934000
0.01250000 -0.02419000
0.02500000 -0.03253000
0.05000000 -0.04320000
0.07500000 -0.05058000
0.10000000 -0.05610000
0.15000000 -0.06327000
0.20000000 -0.06708000
0.25000000 -0.06860000
0.30000000 -0.06839000
0.35000000 -0.06695000
0.40000000 -0.06453000
0.45000000 -0.06141000
0.50000000 -0.05778000
0.55000000 -0.05400000
0.60000000 -0.04985000
0.65000000 -0.04508000
0.70000000 -0.03956000
0.75000000 -0.03334000
0.80000000 -0.02667000
0.85000000 -0.02000000
0.90000000 -0.01334000
0.95000000 -0.00666000
1.00000000 0.00000000
