137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018101
0.9975920 0.0000000 0.0026678
0.9945880 0.0000000 0.0040258
0.9903930 0.0000000 0.0057884
0.9850160 0.0000000 0.0078425
0.9784700 0.0000000 0.0100714
0.9707720 0.0000000 0.0123704
0.9619400 0.0000000 0.0146597
0.9519950 0.0000000 0.0168902
0.9409610 0.0000000 0.0190453
0.9288640 0.0000000 0.0211366
0.9157350 0.0000000 0.0231959
0.9016040 0.0000000 0.0252659
0.8865050 0.0000000 0.0273881
0.8704760 0.0000000 0.0295944
0.8535530 0.0000000 0.0319011
0.8357790 0.0000000 0.0343047
0.8171970 0.0000000 0.0367836
0.7978500 0.0000000 0.0393009
0.7777850 0.0000000 0.0418091
0.7570510 0.0000000 0.0442563
0.7356980 0.0000000 0.0465917
0.7137780 0.0000000 0.0487703
0.6913420 0.0000000 0.0507567
0.6684450 0.0000000 0.0525262
0.6451420 0.0000000 0.0540656
0.6214900 0.0000000 0.0553721
0.5975450 0.0000000 0.0564519
0.5733650 0.0000000 0.0573174
0.5490090 0.0000000 0.0579846
0.5245340 0.0000000 0.0584711
0.5000000 0.0000000 0.0587934
0.4754660 0.0000000 0.0589659
0.4509910 0.0000000 0.0589995
0.4266350 0.0000000 0.0589013
0.4024550 0.0000000 0.0586753
0.3785100 0.0000000 0.0583227
0.3548580 0.0000000 0.0578426
0.3315550 0.0000000 0.0572330
0.3086580 0.0000000 0.0564911
0.2862220 0.0000000 0.0556136
0.2643020 0.0000000 0.0545970
0.2429490 0.0000000 0.0534376
0.2222150 0.0000000 0.0521319
0.2021500 0.0000000 0.0506774
0.1828030 0.0000000 0.0490733
0.1642210 0.0000000 0.0473214
0.1464470 0.0000000 0.0454268
0.1295240 0.0000000 0.0433984
0.1134950 0.0000000 0.0412481
0.0983960 0.0000000 0.0389887
0.0842650 0.0000000 0.0366327
0.0711360 0.0000000 0.0341890
0.0590390 0.0000000 0.0316605
0.0480050 0.0000000 0.0290439
0.0380600 0.0000000 0.0263285
0.0292280 0.0000000 0.0234993
0.0215300 0.0000000 0.0205396
0.0149840 0.0000000 0.0174358
0.0096070 0.0000000 0.0141830
0.0054120 0.0000000 0.0107875
0.0036000 0.0000000 0.0088512
0.0024080 0.0000000 0.0072683
0.0018000 0.0000000 0.0062972
0.0012000 0.0000000 0.0051522
0.0006020 0.0000000 0.0036567
0.0003000 0.0000000 0.0025841
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0024964
0.0006020 0.0000000 -0.0035320
0.0012000 0.0000000 -0.0049747
0.0018000 0.0000000 -0.0060781
0.0024080 0.0000000 -0.0070130
0.0036000 0.0000000 -0.0085347
0.0054120 0.0000000 -0.0103917
0.0096070 0.0000000 -0.0136350
0.0149840 0.0000000 -0.0167258
0.0215300 0.0000000 -0.0196632
0.0292280 0.0000000 -0.0224606
0.0380600 0.0000000 -0.0251421
0.0480050 0.0000000 -0.0277351
0.0590390 0.0000000 -0.0302643
0.0711360 0.0000000 -0.0327470
0.0842650 0.0000000 -0.0351891
0.0983960 0.0000000 -0.0375855
0.1134950 0.0000000 -0.0399210
0.1295240 0.0000000 -0.0421730
0.1464470 0.0000000 -0.0443166
0.1642210 0.0000000 -0.0463266
0.1828030 0.0000000 -0.0481818
0.2021500 0.0000000 -0.0498657
0.2222150 0.0000000 -0.0513662
0.2429490 0.0000000 -0.0526742
0.2643020 0.0000000 -0.0537820
0.2862220 0.0000000 -0.0546811
0.3086580 0.0000000 -0.0553606
0.3315550 0.0000000 -0.0558069
0.3548580 0.0000000 -0.0560036
0.3785100 0.0000000 -0.0559335
0.4024550 0.0000000 -0.0555795
0.4266350 0.0000000 -0.0549268
0.4509910 0.0000000 -0.0539636
0.4754660 0.0000000 -0.0526822
0.5000000 0.0000000 -0.0510795
0.5245340 0.0000000 -0.0491562
0.5490090 0.0000000 -0.0469175
0.5733650 0.0000000 -0.0443733
0.5975450 0.0000000 -0.0415383
0.6214900 0.0000000 -0.0384338
0.6451420 0.0000000 -0.0350886
0.6684450 0.0000000 -0.0315400
0.6913420 0.0000000 -0.0278342
0.7137780 0.0000000 -0.0240258
0.7356980 0.0000000 -0.0201766
0.7570510 0.0000000 -0.0163522
0.7777850 0.0000000 -0.0126202
0.7978500 0.0000000 -0.0090469
0.8171970 0.0000000 -0.0056951
0.8357790 0.0000000 -0.0026217
0.8535530 0.0000000 0.0001226
0.8704760 0.0000000 0.0024935
0.8865050 0.0000000 0.0044531
0.9016040 0.0000000 0.0059714
0.9157350 0.0000000 0.0070267
0.9288640 0.0000000 0.0076091
0.9409610 0.0000000 0.0077237
0.9519950 0.0000000 0.0073947
0.9619400 0.0000000 0.0066691
0.9707720 0.0000000 0.0056186
0.9784700 0.0000000 0.0043385
0.9850160 0.0000000 0.0029434
0.9903930 0.0000000 0.0015603
0.9945880 0.0000000 0.0003178
0.9975920 0.0000000 -0.0006670
0.9993980 0.0000000 -0.0012993
1.0000000 0.0000000 -0.0015170
